trip_date,total_trips,active_vendors,total_passengers,avg_passengers,total_fares,total_tips,total_tolls,total_revenue,average_fare
2024-03-01,117613,2,144377,1.33,2122740.53,381825.94,59943.81,3141436.46,18.05
2024-03-02,122427,2,150160,1.42,2123295.70,349371.33,43833.66,3036337.25,17.34
2024-03-03,96969,2,122659,1.40,1883507.04,323994.44,61607.67,2693590.20,19.42
2024-03-04,94162,2,115475,1.28,1787667.01,330218.66,61915.93,2649702.40,18.99
2024-03-05,112533,2,131571,1.26,2052338.39,375308.16,53710.63,3029935.22,18.24
2024-03-06,132837,2,142316,1.26,2428159.03,413887.79,58757.08,3546898.02,18.28
2024-03-07,122073,2,141674,1.27,2262064.75,412730.70,66816.49,3343709.93,18.53
2024-03-08,119503,2,144883,1.33,2193560.78,391446.57,62469.97,3233672.66,18.36
2024-03-09,140452,2,160821,1.42,2419614.12,370124.49,46036.59,3425779.16,17.23
2024-03-10,104459,2,123940,1.39,2014281.35,328437.87,65265.02,2860990.31,19.28
2024-03-11,98294,3,119339,1.30,1880187.94,340164.56,64369.93,2771096.07,19.13
2024-03-12,112174,3,131163,1.28,2129284.61,381799.55,60547.67,3124668.40,18.98
2024-03-13,119679,3,140396,1.28,2243205.35,409887.47,67293.51,3312326.70,18.74
2024-03-14,137003,3,153712,1.28,2635763.76,449068.63,73257.23,3830420.70,19.24
2024-03-15,128773,3,152203,1.34,2400415.94,410637.34,70902.16,3507107.68,18.64
2024-03-16,131383,3,159636,1.43,2397866.71,377394.96,58207.12,3392071.02,18.25
2024-03-17,103384,3,123823,1.38,2102984.27,343560.74,76775.54,2977378.46,20.34
2024-03-18,94954,3,114613,1.29,1875906.74,338453.60,73121.27,2762085.09,19.76
2024-03-19,111668,3,129950,1.27,2071319.74,374806.76,61696.75,3053359.19,18.55
2024-03-20,118976,3,135807,1.26,2201265.66,397337.83,66289.15,3251096.37,18.50
2024-03-21,130750,3,145594,1.27,2435245.19,427277.84,71975.78,3572589.21,18.63
2024-03-22,116816,3,138409,1.33,2181054.07,376911.41,68411.78,3196694.70,18.67
2024-03-23,121936,2,142039,1.44,2119543.71,330785.08,48305.28,3017238.72,17.38
2024-03-24,101884,3,123099,1.42,2032746.35,330679.91,72922.31,2882650.73,19.95
2024-03-25,93410,3,114079,1.32,1836094.62,322125.57,65835.86,2684458.14,19.66
2024-03-26,112671,3,130363,1.30,2095862.97,365204.03,60559.63,3070936.62,18.60
2024-03-27,121139,3,138960,1.30,2276843.77,395162.01,63413.25,3327937.15,18.80
2024-03-28,132671,3,144064,1.33,2598306.14,415769.88,66884.12,3718837.11,19.58
2024-03-29,119810,3,143018,1.41,2205485.98,355603.48,60362.61,3198959.95,18.41
2024-03-30,112626,3,141950,1.48,1990436.20,313051.62,45472.92,2824901.33,17.67
2024-03-31,98454,3,120940,1.47,1909112.67,297567.43,62549.76,2692482.43,19.39
2024-04-01,93838,3,117173,1.35,1831578.24,321450.07,66649.11,2681944.74,19.52
2024-04-02,131596,3,144201,1.31,2472786.39,398315.08,62980.33,3564448.74,18.79
2024-04-03,139724,3,146907,1.31,2625350.80,412360.16,56045.22,3756777.76,18.79
2024-04-04,137467,3,151974,1.31,2617008.11,432321.51,73609.48,3793121.12,19.04
2024-04-05,134411,3,153393,1.36,2497459.51,402341.99,67467.00,3612883.52,18.58
2024-04-06,131568,3,155738,1.45,2380717.17,362118.19,54014.11,3352173.30,18.09
2024-04-07,105532,3,127250,1.41,2077227.59,335598.75,70780.10,2943969.94,19.68
2024-04-08,97203,3,115627,1.30,1858337.57,327396.36,66484.96,2730756.59,19.12
2024-04-09,120577,3,134397,1.27,2301892.76,394275.02,65734.16,3350269.63,19.09
2024-04-10,121772,3,129301,1.27,2256784.96,375165.39,64329.54,3289459.06,18.53
2024-04-11,142592,3,146943,1.28,2691873.94,431894.99,71485.73,3886677.41,18.88
2024-04-12,123841,3,144498,1.34,2318583.96,394638.71,67932.93,3383747.53,18.72
2024-04-13,129750,3,159889,1.43,2272693.71,368821.31,50996.53,3243823.14,17.52
2024-04-14,111434,3,130664,1.41,2210806.37,349036.92,72840.73,3121443.67,19.84
2024-04-15,101026,3,121003,1.30,2017854.41,357060.85,73122.82,2949374.76,19.97
2024-04-16,110993,2,130980,1.27,2129778.56,382970.56,62469.12,3121470.22,19.19
2024-04-17,126576,2,146335,1.27,2392622.92,431503.40,67454.46,3518056.20,18.90
2024-04-18,134349,2,153152,1.28,2572617.14,453876.13,72866.25,3759877.21,19.15
2024-04-19,119259,2,146736,1.34,2219987.66,396622.34,66683.96,3268701.00,18.61
2024-04-20,132886,2,159528,1.42,2447408.84,386155.96,53081.00,3448381.23,18.42
2024-04-21,105806,2,128045,1.39,2063038.18,339484.99,67647.47,2929951.74,19.50
2024-04-22,90364,2,111279,1.31,1762386.08,312167.07,63077.54,2583473.28,19.50
2024-04-23,100052,2,123506,1.29,1857682.52,344908.86,59212.41,2757143.23,18.57
2024-04-24,108624,2,133442,1.29,2060675.95,384237.27,64091.25,3047205.62,18.97
2024-04-25,122942,2,148889,1.30,2422219.13,438830.92,71052.06,3542094.12,19.70
2024-04-26,112985,2,144461,1.36,2161904.30,389582.34,65396.98,3176558.77,19.13
2024-04-27,117847,2,155622,1.44,2148825.50,364522.62,49890.08,3067486.31,18.23
2024-04-28,99293,2,125852,1.41,1984946.85,332490.26,69368.83,2821186.52,19.99
2024-04-29,97065,2,121063,1.31,1916839.78,349343.90,68041.29,2818684.24,19.75
2024-04-30,111834,2,134719,1.28,2072597.71,381392.23,61127.34,3068732.88,18.53
2024-05-01,121902,2,144642,1.27,2337448.34,425769.90,65301.50,3430717.54,19.17
2024-05-02,133074,2,155538,1.28,2607367.62,464173.92,75696.12,3804278.67,19.59
2024-05-03,128015,2,156707,1.34,2439398.53,430038.68,74947.00,3572753.85,19.06
2024-05-04,133723,2,169436,1.42,2394982.44,394177.17,54359.06,3411862.03,17.91
2024-05-05,120089,2,137474,1.39,2396101.63,371806.09,76952.07,3364893.81,19.95
2024-05-06,102916,2,122287,1.27,2135679.63,379941.37,74995.03,3104701.47,20.75
2024-05-07,119330,2,139536,1.26,2323772.89,413601.50,66210.69,3390603.77,19.47
2024-05-08,127699,2,147475,1.26,2510599.53,448093.31,71671.66,3659990.67,19.66
2024-05-09,136578,2,157786,1.28,2712366.14,476406.40,79522.80,3943141.40,19.86
2024-05-10,138286,2,157688,1.32,2675840.17,442596.74,74434.38,3865062.91,19.35
2024-05-11,130967,2,160102,1.42,2402156.81,383043.62,54860.75,3393864.02,18.34
2024-05-12,112586,2,136488,1.41,2218789.82,355876.85,73751.66,3136166.45,19.71
2024-05-13,111327,3,128965,1.27,2273661.23,398702.88,79014.09,3305734.32,20.42
2024-05-14,131756,3,145767,1.26,2665113.31,449081.90,71895.41,3833682.93,20.23
2024-05-15,138525,3,150614,1.26,2846341.71,473090.10,73389.15,4066859.37,20.55
2024-05-16,143748,3,159716,1.28,2900451.90,493001.60,82965.66,4182619.18,20.18
2024-05-17,133221,3,155994,1.34,2605261.17,436526.98,75579.73,3766394.12,19.56
2024-05-18,138018,3,161516,1.42,2619897.30,390784.00,58697.73,3652965.53,18.98
2024-05-19,114515,3,133596,1.39,2691144.62,370641.12,78311.32,3638889.59,23.50
2024-05-20,106846,3,126157,1.29,2136782.85,370249.87,74367.78,3108942.36,20.00
2024-05-21,121440,3,140037,1.26,2345090.78,416660.69,66131.79,3424837.72,19.31
2024-05-22,130843,3,148388,1.26,2566925.62,444439.19,72681.50,3723168.33,19.62
2024-05-23,122558,3,141918,1.29,2431080.12,421279.25,71676.50,3520766.63,19.84
2024-05-24,109717,3,133422,1.36,2176841.91,359837.92,70193.47,3132013.06,19.84
2024-05-25,90071,3,121160,1.47,1666971.87,267786.08,46871.39,2358371.51,18.51
2024-05-26,85633,3,107929,1.47,1663319.04,245824.39,49549.54,2317131.44,19.42
2024-05-27,72558,3,92348,1.43,1495935.35,245579.21,58916.85,2115751.22,20.62
2024-05-28,104658,3,128305,1.30,2127555.27,375654.38,71465.51,3096738.06,20.33
2024-05-29,121193,3,141615,1.28,2360950.08,411006.25,63191.09,3424508.63,19.48
2024-05-30,123667,3,145673,1.28,2438546.30,427364.12,70962.21,3544811.48,19.72
2024-05-31,117237,3,143078,1.34,2264463.46,387251.58,66241.51,3286496.15,19.32
2024-06-01,130669,3,158188,1.42,2433114.86,375274.55,55910.91,3414192.71,18.62
2024-06-02,107021,3,128956,1.39,2267744.63,363553.16,76551.70,3174737.15,21.19
2024-06-03,109637,3,128481,1.28,2170124.65,385258.45,74530.27,3172555.22,19.79
2024-06-04,124759,2,143231,1.26,2439169.89,431411.81,68705.24,3551832.28,19.55
2024-06-05,134015,2,150681,1.27,2592499.17,451032.19,69128.22,3766036.67,19.34
2024-06-06,142011,2,157985,1.28,2856224.47,483756.41,78506.71,4110671.59,20.11
